Title,Author,pages,Publisher,ID,Price
Fundamentals of Wavelets,Goswami,228,Wiley,1,150
God Created the Integers,Hawking Stephen,197,Penguin,3,357
Superfreakonomics,Dubner Stephen,179,HarperCollins,4,5657
Nature of Statistical Learning Theory,Vapnik,230,Springer,6,123
Integration of the Indian States,Menon,217,Orient Blackswan,7,151
Image Processing and Mathematical Morphology,Shih,241,CRC,9,358
Data Scientists at Work,Sebastian Gutierrez,230,Apress,11,546
Slaughterhouse Five,Vonnegut,198,Random House,12,124
Birth of a Theorem,Cedric,234,Bodley Head,13,152
Structure and Interpretation of Computer Programs,Sussman,240,MIT Press,14,202
Making Software,Oram,232,Reilly,21,360
Analysis,Terence,248,HBA,22,5660
Mein Kampf,Hitler Adolf,212,Rupa,33,362
Veteran,Forsyth,177,Transworld,37,156
False Impressions,Archer Jeffery,540,Pan,38,206
Last Lecture,Pausch Randy,115,Hyperion,39,363
Story of Philosophy,Durant Will,170,Pocket,46,5664
Asami Asami,Deshpande,205,Mauj,47,552
Complete Mastermind,BBC,178,BBC,54,131
Soft Computing and Intelligent Systems,Madan,242,Elsevier,56,209
Textbook of Economic Theory,Stonier Alfred,242,Pearson,57,366
Data Structures Using  C++,Tanenbaum Andrew,235,Prentice Hall,60,132
Principles of Communication Systems,Taub Schilling,118,TMH,62,210
Argumentative Indian,Amartyasen,209,Picador,67,161
O Jerusalem,Lapierre,219,vikas,86,214
On Education,Russell,203,Routledge,90,137
Free Will,Harris,213,FreePress,91,165
Maugham's Collected Short Stories,Maugham,171,Vintage,106,5674
Artist and the Mathematician,Aczel,186,HighStakes,112,5675
Clash of Civilizations and Remaking of the World Order,Huntington,228,Simon and Schuster,116,219
One,Bach,172,Dell,118,5676
Half A Life,Naipaul,196,Jaico,121,170
